Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
CMG,Chipotle Mexican Grill,1866.13,16.93,0.92%,1877.97,1853.23,263578,18:30 ET
CMI,Cummins Inc,233.6,-0.02000000000001,-0.01%,235,232.0533,538587,18:30 ET
CMS,Cms Energy Corp,56.36,-0.57,-1.00%,56.929,55.97,893288,18:30 ET
CNC,Centene Corp,63.83,0.13,0.20%,64.09,63.53,2842998,18:30 ET
CNP,Centerpoint Energy Inc,28.28,0.09,0.32%,28.345,27.94,3669121,18:30 ET
COF,Capital One Financial Corp,104.39,-0.65000000000001,-0.62%,105.3,103.2,1533371,18:30 ET
COO,Cooper Companies,372.08,3.12,0.85%,372.89,368.09,152475,18:30 ET
COP,Conocophillips,117.21,-0.080000000000013,-0.07%,119.11,116.535,3270695,18:30 ET
COST,Costco Wholesale,543.21,-1.73,-0.32%,545.15,536.3,2076000,2023-08-21
CPB,Campbell Soup Company,42.06,-0.77,-1.80%,42.51,41.795,2467279,18:30 ET
CPRT,Copart Inc,86.98,0.14,0.16%,87.14,85.89,2286800,2023-08-21
CPT,Camden Property Trust,105.12,-1.07,-1.01%,106.24,104.56,527302,18:30 ET
CRL,Charles River Laboratories Intl,200.91,2.01,1.01%,201.63,198.66,310069,18:30 ET
CRM,Salesforce Inc,209.03,4.2,2.05%,209.42,204.22,4022966,18:30 ET
CSCO,Cisco Systems Inc,55.44,0.4,0.73%,55.79,55.15,18281799,2023-08-21
CSGP,Costar Group Inc,78.52,0.23,0.29%,78.99,77.84,1126100,2023-08-21
CSX,CSX Corp,30.71,-0.16,-0.52%,30.95,30.56,9629600,2023-08-21
CTAS,Cintas Corp,486.02,0.58,0.12%,487.92,482.46,248600,2023-08-21
CTLT,Catalent Inc,45.4,1.04,2.34%,45.41,44.5,1867090,18:30 ET
CTRA,Coterra Energy Inc,28.2,0.42,1.51%,28.245,27.74,4655657,18:30 ET
CTSH,Cognizant Tech Sol,68.76,-0.04,-0.06%,69.02,68.35,3585000,2023-08-21
CTVA,Corteva Inc,50.21,-0.55,-1.08%,50.8729,50.155,2486037,18:30 ET
CVS,CVS Corp,67.08,0.27,0.40%,67.17,66.26,8643551,18:30 ET
CVX,Chevron Corp,160.36,-0.53999999999999,-0.34%,162.07,159.45,6799928,18:30 ET
CZR,Caesars Entertainment Inc,51.29,-0.81,-1.55%,52.44,51.08,3834500,2023-08-21
D,Dominion Resources,48.12,-0.31,-0.64%,48.26,47.5,3412060,18:30 ET
DAL,Delta Air Lines Inc,41.74,0.25,0.60%,41.8575,41.23,4164292,18:30 ET
DD,Dupont Denemours Inc,74.8,-0.60000000000001,-0.80%,75.93,74.39,2164373,18:30 ET
DE,Deere & Company,390.79,-6.23,-1.57%,398,385.49,2548517,18:30 ET
DFS,Discover Financial Services,92.03,-1.31,-1.40%,93.7,90.86,2780164,18:30 ET
DG,Dollar General Corp,162.28,-0.71000000000001,-0.44%,163.945,161.0017,1998357,18:30 ET
DGX,Quest Diagnostics Inc,132.89,-0.61000000000001,-0.46%,134.41,132.85,824712,18:30 ET
DHI,D.R. Horton,115.94,-1.37,-1.17%,117.6999,114.34,3430844,18:30 ET
DHR,Danaher Corp,250.17,-1.24,-0.49%,253.05,249.92,2368133,18:30 ET
DIS,Walt Disney Company,85.88,-0.079999999999998,-0.09%,86.25,85.4094,11201335,18:30 ET
